title,date,link
"Rod Rosenstein, Cambridge Analytica, Starbucks: Your Wednesday Evening Briefing","Wed, 02 May 2018 22:15:29 GMT",https://www.nytimes.com/2018/05/02/briefing/Rod-Rosenstein-Cambridge-Analytica-Starbucks.html
"Asia and Australia Edition: Israel, Mike Pompeo, Liverpool: Your Thursday Briefing","Wed, 02 May 2018 21:42:12 GMT",https://www.nytimes.com/2018/05/02/briefing/israel-mike-pompeo-liverpool.html
"Trump Assails Justice Dept., Siding With House Conservatives in Dispute","Wed, 02 May 2018 23:50:53 GMT",https://www.nytimes.com/2018/05/02/us/politics/trump-justice-department-house-republicans.html
"Trump Adds Clinton Impeachment Lawyer, Bracing for a Fight on Multiple Fronts","Thu, 03 May 2018 00:03:15 GMT",https://www.nytimes.com/2018/05/02/us/politics/emmet-flood-ty-cobb-white-house-lawyer-special-counsel.html
Cambridge Analytica to File for Bankruptcy After Misuse of Facebook Data,"Wed, 02 May 2018 23:43:51 GMT",https://www.nytimes.com/2018/05/02/us/politics/cambridge-analytica-shut-down.html
Redskins Cheerleaders Describe Topless Photo Shoots and an Uneasy Night Out,"Wed, 02 May 2018 21:58:43 GMT",https://www.nytimes.com/2018/05/02/sports/redskins-cheerleaders-nfl.html
Onetime Lobbyist for Foreign Governments Helped Plan a Pruitt Trip to Australia,"Thu, 03 May 2018 00:14:21 GMT",https://www.nytimes.com/2018/05/02/climate/epa-pruitt-australia-travel.html
"With Three Rapid Strokes, Netanyahu Advances Agenda Against Iran","Wed, 02 May 2018 22:47:18 GMT",https://www.nytimes.com/2018/05/02/world/middleeast/netanyahu-israel-iran-nuclear.html
Israeli Law Vesting War Power in 2 Top Leaders Faces Criticism,"Wed, 02 May 2018 19:57:03 GMT",https://www.nytimes.com/2018/05/02/world/middleeast/israel-netanyahu-iran.html
Palestinian Leader Incites Uproar With Speech Condemned as Anti-Semitic,"Wed, 02 May 2018 23:24:13 GMT",https://www.nytimes.com/2018/05/02/world/middleeast/palestinians-abbas-israel-jews.html
"On Anniversary of House Obamacare Repeal, Democrats Look to Extract a Price","Wed, 02 May 2018 23:26:34 GMT",https://www.nytimes.com/2018/05/02/us/politics/house-obamacare-repeal-vote-anniversary.html
The Truth Trump Doesn’t Want You to Know About the Caravan,"Wed, 02 May 2018 22:55:04 GMT",https://www.nytimes.com/2018/05/02/opinion/trump-asylum-immigration-caravans.html
"Op-Ed Columnist: Of Swamps, a New Pence and ‘Cocaine Mitch’","Wed, 02 May 2018 23:53:54 GMT",https://www.nytimes.com/2018/05/02/opinion/west-virginia-indiana-republican-primary.html
Contributing Op-Ed Writer: Is America Lost in Space?,"Wed, 02 May 2018 09:45:08 GMT",https://www.nytimes.com/2018/05/02/opinion/america-lost-in-space.html
Mueller’s Questions Point to What Trouble Trump Is In,"Wed, 02 May 2018 16:01:18 GMT",https://www.nytimes.com/2018/05/02/opinion/trump-mueller-special-counsel-questions.html
Why Silicon Valley Must Go to War,"Wed, 02 May 2018 21:51:52 GMT",https://www.nytimes.com/2018/05/02/opinion/silicon-valley-pentagon.html
Op-Ed Contributor: Fast Bus Service in New York City? It’s Possible,"Wed, 02 May 2018 20:12:28 GMT",https://www.nytimes.com/2018/05/02/opinion/nyc-buses-mta.html
What to Do With the ‘Bad Men’ of the #MeToo Movement,"Wed, 02 May 2018 09:49:09 GMT",https://www.nytimes.com/2018/05/02/opinion/bad-men-metoo-movement.html
Cold-War Echoes in Central America,"Wed, 02 May 2018 15:27:47 GMT",https://www.nytimes.com/2018/05/02/opinion/cold-war-central-america.html
Op-Ed Columnist: Politicians Don’t Need New Ideas,"Wed, 02 May 2018 12:32:10 GMT",https://www.nytimes.com/2018/05/02/opinion/politicians-dont-need-new-ideas.html
2 Black Men Settle With Starbucks and Philadelphia Over Arrest,"Wed, 02 May 2018 22:04:35 GMT",https://www.nytimes.com/2018/05/02/us/starbucks-arrest-philadelphia-settlement.html
